"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"05/03/2021";"0000";"21,3";"95,0";"949,0";"2,0";"50,0";"10,0";"1,10";"25,5";"";""
"05/03/2021";"1200";"20,6";"100,0";"947,8";"1,0";"320,0";"10,0";"";"";"19,6";"42,0"
"05/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"06/03/2021";"0000";"22,7";"97,0";"946,6";"0,0";"0,0";"9,0";"6,40";"30,3";"";""
"06/03/2021";"1200";"22,7";"92,0";"948,3";"2,0";"230,0";"9,0";"";"";"20,3";"6,3"
"06/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"07/03/2021";"0000";"22,8";"88,0";"948,2";"1,0";"90,0";"7,0";"6,60";"30,7";"";""
"07/03/2021";"1200";"24,5";"82,0";"950,2";"1,0";"320,0";"1,0";"";"";"19,5";"0,8"
"07/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"08/03/2021";"0000";"22,8";"84,0";"948,4";"1,0";"50,0";"2,0";"9,30";"30,8";"";""
"08/03/2021";"1200";"24,3";"76,0";"951,6";"2,0";"50,0";"1,0";"";"";"19,5";"0,0"
"08/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"09/03/2021";"0000";"24,1";"78,0";"949,1";"0,0";"0,0";"9,0";"10,20";"31,9";"";""
"09/03/2021";"1200";"24,9";"79,0";"949,9";"1,0";"320,0";"3,0";"";"";"20,0";"4,3"
"09/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"10/03/2021";"0000";"24,8";"68,0";"947,6";"2,0";"90,0";"4,0";"11,00";"31,5";"";""
"10/03/2021";"1200";"23,1";"72,0";"948,8";"2,0";"50,0";"0,0";"";"";"18,7";"0,0"
"10/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"11/03/2021";"0000";"25,8";"52,0";"946,4";"2,0";"230,0";"0,0";"11,40";"33,2";"";""
"11/03/2021";"1200";"26,7";"64,0";"948,6";"0,0";"0,0";"0,0";"";"";"18,5";"0,0"
"11/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"12/03/2021";"0000";"25,9";"55,0";"949,0";"1,0";"230,0";"0,0";"11,40";"33,8";"";""
"12/03/2021";"1200";"26,1";"59,0";"951,4";"1,0";"320,0";"2,0";"";"";"19,2";"0,0"
"12/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"13/03/2021";"0000";"27,2";"51,0";"949,6";"1,0";"230,0";"0,0";"11,00";"33,6";"";""
"13/03/2021";"1200";"26,7";"64,0";"953,1";"2,0";"50,0";"1,0";"";"";"21,5";"0,0"
"13/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"14/03/2021";"0000";"27,2";"55,0";"949,9";"0,0";"0,0";"0,0";"9,60";"34,1";"";""
"14/03/2021";"1200";"27,8";"61,0";"953,4";"3,0";"50,0";"4,0";"";"";"21,7";"0,0"
"14/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"15/03/2021";"0000";"25,5";"71,0";"951,8";"0,0";"0,0";"6,0";"7,80";"32,4";"";""
"15/03/2021";"1200";"26,3";"70,0";"952,0";"2,0";"50,0";"4,0";"";"";"21,8";"4,4"
"15/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"16/03/2021";"0000";"23,3";"87,0";"951,4";"1,0";"270,0";"9,0";"11,00";"33,4";"";""
"16/03/2021";"1200";"26,6";"68,0";"950,7";"1,0";"50,0";"4,0";"";"";"22,1";"2,3"
"16/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"17/03/2021";"0000";"27,0";"66,0";"948,7";"2,0";"320,0";"1,0";"1,40";"28,0";"";""
"17/03/2021";"1200";"25,0";"79,0";"949,9";"0,0";"0,0";"10,0";"";"";"20,7";"0,0"
"17/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"18/03/2021";"0000";"23,4";"91,0";"948,4";"1,0";"140,0";"1,0";"10,20";"32,1";"";""
"18/03/2021";"1200";"23,4";"88,0";"950,3";"1,0";"180,0";"2,0";"";"";"20,0";"17,6"
"18/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"19/03/2021";"0000";"24,9";"75,0";"949,2";"0,0";"0,0";"1,0";"8,20";"31,2";"";""
"19/03/2021";"1200";"25,0";"71,0";"951,9";"3,0";"50,0";"4,0";"";"";"21,6";"0,2"
"19/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"20/03/2021";"0000";"26,7";"67,0";"950,8";"2,0";"90,0";"5,0";"8,50";"32,4";"";""
"20/03/2021";"1200";"25,1";"73,0";"954,4";"3,0";"50,0";"8,0";"";"";"21,3";"3,1"
"20/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"21/03/2021";"0000";"26,9";"68,0";"952,7";"2,0";"90,0";"2,0";"5,30";"32,0";"";""
"21/03/2021";"1200";"27,8";"69,0";"954,8";"1,0";"50,0";"7,0";"";"";"23,0";"0,0"
"21/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"22/03/2021";"0000";"23,8";"85,0";"953,6";"1,0";"140,0";"6,0";"7,20";"34,2";"";""
"22/03/2021";"1200";"25,7";"76,0";"954,2";"1,0";"90,0";"8,0";"";"";"21,5";"6,5"
"22/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"23/03/2021";"0000";"25,3";"78,0";"953,5";"5,0";"180,0";"4,0";"10,10";"34,3";"";""
"23/03/2021";"1200";"26,8";"69,0";"953,9";"1,0";"50,0";"2,0";"";"";"22,8";"0,2"
"23/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"24/03/2021";"0000";"27,0";"62,0";"952,3";"0,0";"0,0";"2,0";"7,00";"34,5";"";""
"24/03/2021";"1200";"27,5";"66,0";"954,2";"2,0";"50,0";"6,0";"";"";"22,2";"0,0"
"24/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"25/03/2021";"0000";"26,5";"63,0";"952,8";"5,0";"90,0";"6,0";"10,90";"34,6";"";""
"25/03/2021";"1200";"27,2";"65,0";"953,8";"2,0";"50,0";"5,0";"";"";"22,3";"5,3"
"25/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"26/03/2021";"0000";"28,5";"59,0";"952,2";"1,0";"90,0";"2,0";"9,00";"34,4";"";""
"26/03/2021";"1200";"28,3";"64,0";"952,4";"1,0";"50,0";"2,0";"";"";"24,2";"0,0"
"26/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"27/03/2021";"0000";"26,3";"62,0";"951,6";"3,0";"140,0";"10,0";"6,10";"33,5";"";""
"27/03/2021";"1200";"27,5";"64,0";"951,6";"1,0";"50,0";"10,0";"";"";"23,3";"0,0"
"27/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"28/03/2021";"0000";"24,8";"73,0";"949,2";"1,0";"50,0";"9,0";"9,30";"32,9";"";""
"28/03/2021";"1200";"25,7";"68,0";"953,0";"2,0";"50,0";"4,0";"";"";"21,0";"0,0"
"28/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"29/03/2021";"0000";"27,7";"56,0";"950,3";"2,0";"230,0";"6,0";"10,80";"33,7";"";""
"29/03/2021";"1200";"26,8";"66,0";"952,0";"1,0";"140,0";"1,0";"";"";"22,4";"0,1"
"29/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"30/03/2021";"0000";"26,5";"64,0";"951,4";"3,0";"230,0";"9,0";"8,00";"29,1";"";""
"30/03/2021";"1200";"23,5";"74,0";"951,2";"1,0";"230,0";"5,0";"";"";"19,9";"0,0"
"30/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"31/03/2021";"0000";"21,5";"73,0";"949,9";"3,0";"230,0";"1,0";"10,90";"28,2";"";""
"31/03/2021";"1200";"20,4";"72,0";"950,3";"1,0";"140,0";"0,0";"";"";"16,5";"0,0"
"31/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
